,Object Name,Object Number,Is Highlight,Is Public Domain,Object ID,Title,Culture,Artist Display Name,Artist Display Bio,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,Country,Classification,Link Resource,Metadata Date,Repository,American Decorative Arts,American Paintings and Sculpture
0,Box,10.125.680,False,True,945,Box,26,John Thurston,1607–1685,John Thurston,American,1607,1685,1660–85,1660,1685,500,9 1/2 x 26 5/8 x 15 1/2 in. (24.1 x 67.6 x 39.4 cm),"Gift of Mrs. Russell Sage, 1909",6,25,4,http://www.metmuseum.org/art/collection/search/945,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
1,Chest,10.125.685,True,True,1997,Chest,25,William Searle|Thomas Dennis,died 1667|1638–1706,William Searle|Thomas Dennis,American,1638,1706,1663–80,1663,1680,499,29 3/4 x 49 1/8 x 21 3/8 in. (75.6 x 124.8 x 54.3 cm),"Gift of Mrs. Russell Sage, 1909",1,22,4,http://www.metmuseum.org/art/collection/search/1997,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
2,Chest,10.125.24,False,True,1989,Chest,25,William Searle|the Searle-Dennis shop tradition|Thomas Dennis,died 1667|1638–1706,William Searle|the Searle-Dennis shop tradition|Thomas Dennis,American,1638,1706,1670–90,1670,1690,412,28 1/2 x 41 7/8 x 19 3/4 in. (72.4 x 106.4 x 50.2 cm),"Gift of Mrs. Russell Sage, 1909",1,22,4,http://www.metmuseum.org/art/collection/search/1989,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
3,Beaker,2014.53,False,True,399,Beaker,24,John Hull|Robert Sanderson Sr.,1624–1683|ca. 1608–1693,John Hull|Robert Sanderson Sr.,American,1605,1693,ca. 1670,1667,1670,440,"Overall: 5 3/8 in. (13.7 cm); 7 oz. 6 dwt. (227.3 g)
Lip: Diam. 4 1/8 in. (10.5 cm)
Base: Diam. 3 7/16 in. (8.7 cm)","Purchase, Bequest of Emma A. Sheafer, by exchange, 2014",1,22,12,http://www.metmuseum.org/art/collection/search/399,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
4,Box,10.125.2,False,True,940,Box,24,William Buell,died 1681,William Buell,American,1631,1681,1640–80,1640,1680,328,9 1/2 x 28 1/4 x 18 1/2 in. (24.1 x 71.8 x 47 cm),"Gift of Mrs. Russell Sage, 1909",1,22,4,http://www.metmuseum.org/art/collection/search/940,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
5,Beaker,33.120.621,False,False,379,Beaker,24,Jurian Blanck Jr.,baptized 1645–ca. 1714/15,Jurian Blanck Jr.,American,1645,1714,ca. 1683,1680,1683,440,"Overall: H. 7 3/16 in. (18.3 cm); 17 oz. 11 dwt. (546 g)
Lip: Diam. 4 5/8 in. (11.7 cm)
Base: Daim. 3 7/16 in. (8.7 cm)","Jointly owned by The Metropolitan Museum of Art and The Reformed Protestant Dutch Church, Kingston, N. Y., 1933",1,22,12,http://www.metmuseum.org/art/collection/search/379,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
6,Chafing Dish,41.70.4,False,True,1536,Chafing Dish,24,John Coney,1655/56–1722,John Coney,American,1655,1722,ca. 1719,1717,1720,440,"Overall: 3 3/8 x 6 3/8 in. (8.6 x 16.2 cm); 15 oz. 12 dwt. (485.5 g)
Lip: Diam. 5 7/8 in. (14.9 cm)","Rogers Fund, 1941",1,22,12,http://www.metmuseum.org/art/collection/search/1536,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
7,Two-handled bowl,24.105,False,True,783,Two-handled bowl,24,Jacob Boelen,ca. 1657–1729,Jacob Boelen,American,1657,1729,1675–1700,1675,1700,440,"Overall: 3 3/8 x 8 1/8 in. (8.6 x 20.6 cm); 8 oz. 15 dwt. (272.8 g)
Lip: Diam. 5 1/2 in. (14 cm)
Foot: Diam. 3 11/16 in. (9.4 cm)","Gift of Margaret S. Remsen, 1924",1,22,12,http://www.metmuseum.org/art/collection/search/783,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
8,Two-handled bowl,23.80.17,False,True,803,Two-handled bowl,24,Jesse Kip,baptized 1660–1722,Jesse Kip,American,1660,1722,1690–1710,1690,1710,440,"Overall: 4 15/16 x 11 15/16 in. (12.5 x 30.3 cm); 20 oz. 7 dwt. (632.7 g)
Lip: Diam. 8 9/16 in. (21.7 cm)
Foot: Diam. 4 1/8 in. (10.5 cm)","Gift of Mr. and Mrs. William A. Moore, 1923",1,22,12,http://www.metmuseum.org/art/collection/search/803,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
9,Capias,33.120.618,False,True,1408,Capias,24,Edward Winslow,1669–1753,Edward Winslow,American,1669,1753,1718,1718,1718,358,12 1/2 x 7 7/8 in. (31.8 x 20 cm),"Bequest of Alphonso T. Clearwater, 1933",1,6,8,http://www.metmuseum.org/art/collection/search/1408,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY",1,0
